SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JAMMU & KASHMIR,1901,66.4,69.3,69.6,132.2,105.8,53.4,171.7,181.3,101.8,24.1,0.0,4.4,979.9,135.6,307.6,508.2,28.5
JAMMU & KASHMIR,1902,6.5,9.7,91.3,100.5,70.7,113.3,108.4,136.9,62.2,15.1,44.0,1.8,760.5,16.2,262.5,420.9,60.9
JAMMU & KASHMIR,1903,96.2,21.5,238.6,58.7,57.3,18.9,332.5,218.6,176.9,10.7,15.0,41.8,1286.6,117.7,354.6,746.9,67.5
JAMMU & KASHMIR,1904,110.6,17.3,145.2,64.5,67.8,25.9,182.3,132.2,62.3,50.0,24.8,99.2,982.2,128.0,277.5,402.7,174.0
JAMMU & KASHMIR,1905,146.7,76.3,161.4,71.7,65.2,43.3,145.2,111.5,239.7,5.8,0.6,90.2,1157.7,223.0,298.4,539.7,96.7
JAMMU & KASHMIR,1906,81.0,160.4,167.2,49.3,39.4,52.2,107.0,257.4,237.0,5.3,0.0,36.9,1193.1,241.4,255.9,653.6,42.1
JAMMU & KASHMIR,1907,99.6,195.8,132.2,151.0,57.0,85.9,85.1,220.3,24.9,13.9,3.1,0.8,1069.6,295.4,340.2,416.3,17.8
JAMMU & KASHMIR,1908,86.4,51.4,28.1,195.8,45.3,26.1,233.3,345.9,118.9,9.0,1.2,86.0,1227.3,137.7,269.1,724.3,96.2
JAMMU & KASHMIR,1909,91.9,149.3,56.1,48.0,43.1,68.2,252.2,264.7,237.7,55.2,0.1,73.4,1339.9,241.2,147.2,822.9,128.7
JAMMU & KASHMIR,1910,123.6,85.1,65.6,99.7,33.0,126.2,193.7,276.1,39.4,0.4,0.1,66.7,1109.4,208.7,198.3,635.4,67.1
JAMMU & KASHMIR,1911,344.8,52.3,285.4,53.1,18.7,76.7,95.1,144.4,72.8,15.1,93.6,28.1,1280.2,397.1,357.2,389.0,136.9
JAMMU & KASHMIR,1912,169.8,39.7,107.5,102.8,61.1,22.9,192.7,152.9,14.0,4.6,21.4,47.3,936.7,209.5,271.4,382.5,73.3
JAMMU & KASHMIR,1913,68.4,141.9,95.0,81.0,54.4,99.1,152.2,173.9,24.4,12.8,33.4,63.7,1000.2,210.3,230.4,449.6,109.8
JAMMU & KASHMIR,1914,47.8,228.9,155.4,153.7,91.9,86.1,369.9,159.3,103.3,157.3,43.0,95.6,1692.1,276.7,400.9,718.6,295.9
JAMMU & KASHMIR,1915,47.4,218.3,109.7,132.3,18.2,54.4,87.7,174.6,71.7,27.6,0.0,21.9,963.9,265.8,260.2,388.4,49.5
JAMMU & KASHMIR,1916,37.5,159.4,69.0,67.7,58.6,92.9,244.3,216.5,46.9,30.9,3.4,7.2,1034.3,196.8,195.3,600.6,41.6
JAMMU & KASHMIR,1917,63.6,34.2,92.7,145.0,67.9,155.4,170.3,231.4,219.5,129.6,0.0,76.5,1386.1,97.8,305.6,776.7,206.0
JAMMU & KASHMIR,1918,25.8,27.7,269.0,173.9,4.7,59.6,95.3,118.1,19.0,14.9,19.6,88.9,916.5,53.5,447.6,292.0,123.4
JAMMU & KASHMIR,1919,187.7,98.3,121.6,73.3,49.5,36.9,247.2,208.5,37.7,1.4,0.3,126.8,1189.2,285.9,244.4,530.4,128.5
JAMMU & KASHMIR,1920,82.9,126.4,199.8,97.2,63.3,40.2,81.2,98.1,48.0,17.3,0.8,34.7,889.9,209.2,360.4,267.5,52.8
JAMMU & KASHMIR,1921,140.6,71.3,60.4,44.9,21.8,56.7,137.7,209.3,65.8,76.8,3.1,169.3,1057.6,211.9,127.1,469.5,249.2
JAMMU & KASHMIR,1922,87.9,60.6,82.4,67.4,26.5,63.4,163.9,99.1,149.7,28.7,1.5,59.7,890.8,148.5,176.3,476.1,89.8
JAMMU & KASHMIR,1923,185.9,163.2,106.9,60.9,135.7,23.8,176.7,244.9,33.0,71.4,9.3,52.6,1264.3,349.2,303.5,478.3,133.3
JAMMU & KASHMIR,1924,89.2,218.7,91.6,87.6,132.2,4.0,138.2,203.9,103.2,1.3,22.3,89.8,1182.2,307.9,311.5,449.5,113.4
JAMMU & KASHMIR,1925,90.4,86.8,45.7,70.9,106.1,80.7,242.3,179.3,25.9,32.7,52.5,0.0,1013.3,177.3,222.7,528.2,85.2
JAMMU & KASHMIR,1926,52.6,61.7,182.4,123.9,92.0,33.9,185.8,245.1,109.2,0.3,2.5,34.1,1123.6,114.4,398.3,574.0,36.9
JAMMU & KASHMIR,1927,84.6,117.3,80.8,53.2,82.6,27.9,226.2,220.3,27.7,7.6,4.5,40.3,973.1,202.0,216.6,502.2,52.3
JAMMU & KASHMIR,1928,142.9,192.2,125.9,109.2,18.4,46.2,115.7,177.1,121.6,1.2,102.4,138.3,1291.0,335.1,253.4,460.6,241.9
